gene_symbol,hiv_day_0,hiv_day_1,hiv_day_3,hiv_day_6,hiv_day_8,hiv_day_10,hiv_day_12,cluster,flu_day_0,flu_day_1,flu_day_2,flu_day_3,flu_day_4,flu_day_5
LRMJO,0,1.58118384842329,2.77730434388417,3.99580089245913,3.40809991935359,2.93095226174585,3.14567434865149,1,0,-0.0965963013357795,1.58356301940265,2.61344368835778,2.64226994832749,2.35197062550506
BQTGY,0,1.23217928762584,2.52222659744888,3.6807460625503,3.52157153768522,3.17585121950773,3.54572239843221,1,0,-0.403904335508512,2.20277731574288,3.64407386238092,3.54704323657123,3.0165758144141
JGZAV,0,0.369970994587594,2.84968379337605,3.76906271678929,4.13985460293892,3.51697850917423,3.69313167950926,1,0,0.047441527255182,2.2401232423591,3.01715110044884,2.77454968602671,2.25022176920153
LUHYA,0,0.264566906562713,3.0658853280276,4.23544843575631,4.15178403369424,3.28270524383736,3.40026097664048,1,0,0.194130499086105,2.53919160802823,3.60793685176427,3.38645060038737,3.10333959957672
OHPIX,0,-0.171200934539449,3.05431508523864,4.48863208110588,3.90177284052812,3.39639147627698,3.63736708513614,1,0,-0.194405724817995,1.75251579971431,2.75680542392482,2.60909343846905,2.31583610874224
CDTTZ,0,1.4187298337004,2.19360924043724,4.51002514323886,4.40358222629569,3.20248310345109,3.15719416388064,1,0,0.105995693780751,1.9627009978149,2.36932671455816,1.81267525565744,1.40895310422125
GZWCR,0,0.231799900126768,2.618450146632,4.54469777162068,4.34095696208233,3.44590585904148,3.04616006486293,1,0,0.00942986802572698,0.181944333781787,0.539615845657373,0.488913765159215,0.452484014345394
OOYSD,0,0.652773021380467,1.84670437150835,4.64661806085882,4.29121470723232,3.51761342626869,3.04053187267096,1,0,0.0347414196678836,0.0760253044531338,-0.0487461990375298,-0.0247449983475787,0.146174735148646
BEXPN,0,-0.55460541410224,1.74287043858446,4.19519643823722,3.78881216056736,3.03130683347589,3.68631087644886,1,0,0.0881544112845204,1.33072653031001,1.41720937395142,1.65010404127429,0.974039781764725
POIGB,0,-0.324190909559499,2.18227290979858,3.69826792335552,3.89036470701556,3.32339620858004,3.1720679651159,1,0,0.0794982953355529,1.87498932598625,2.51474215429499,2.08083151243699,1.60822731712567
NLVDG,0,0.383843684871179,1.78136389553205,4.01643472010765,3.71284152127153,3.51266915958458,3.55573611986391,1,0,0.223106360911977,0.803830539551082,1.37892418064132,1.31766975430252,1.12380516643615
FOHOU,0,0.254201084497664,1.90140950917796,3.58976195151785,3.65984088044156,3.17068587711602,3.6210741928398,1,0,0.120184353107766,1.01313559280616,1.41486491551753,1.10751366080149,1.26261238774172
MQSRW,0,-0.185976585321404,1.82399529148287,3.64128162045346,3.55481933972978,3.11973490098525,3.40005860640195,1,0,-0.0338051320982077,0.115037561510349,0.173330810415804,0.0671941861006524,0.162237871299708
HGNSQ,0,-0.582448772605966,2.23205800065091,4.14220698322853,4.51746031713256,3.90192399117376,3.85997805945037,1,0,0.044378501977741,1.21319013148807,1.57661752650479,1.31507462006086,0.827803285915843
GOJLE,0,1.04962912362934,3.24955026043646,4.50269760279707,4.21054382950535,3.78234707146629,3.90802199748452,1,0,0.025425617606415,2.58480985455581,4.58375069271238,4.70682554301297,4.46105342362959
VWTBF,0,0.980154506377935,2.84859981793891,4.4805216992757,4.36024505380239,3.95018207436094,4.494130947865,1,0,0.044833193949404,1.84516724809748,2.95741141079262,2.84433297785077,2.64625019719945
AGIWH,0,0.363204499073658,4.06413923544485,4.45201736635348,4.28774499743662,3.98092031950563,4.45751950235114,1,0,-0.056865450763434,2.5827327730576,3.63169249022524,3.23196203396368,2.77352397981667
MOITL,0,0.429321078601649,3.84322514790668,4.55608600900722,4.37166959936277,3.98251574536697,4.09661675861473,1,0,0.220850662854949,3.21119811022123,4.58107108388113,4.14331444902114,3.95626299875668
HGUGR,0,0.225285492247961,3.4238199367714,4.77316797722437,4.71766105858395,4.32367519977132,4.57270785552157,1,0,-0.355918766775947,2.1287753781003,2.66568264053769,2.11642557628551,1.60523498307449
WLJPR,0,0.510159814439028,4.06375959046634,5.24006542088724,5.0270987362944,4.55865027526015,4.32975952572149,1,0,0.120613107018083,2.3533680568951,3.61427322637506,3.53304228405073,3.271938688683
UAGVI,0,1.69835186713973,4.55188406797723,6.27529440510216,5.8076896195058,5.41991186393515,5.73859355222873,1,0,0.149576440781096,3.30334075754046,4.93898302009479,4.83802633700607,4.3054955507768
IZNJS,0,0.805233099642773,1.48636973574496,5.54914524928952,5.97240155904846,4.97961276760565,5.00264686230883,1,0,0.04431697194669,2.4743258220629,3.87640895509243,3.52525079014763,3.20011079236539
